Status,Endereço,Bairro_Cidade,Quartos,Area,Garagem,Construtora,Bairro_Cidade ,Bairro,Valor_m2,Num_Dorms,Num_Dorms_Suites,Entrega,Dados,Título,Metragem,Vagas
Em construção,,,,,,Patriani,Campinas - Norte-Sul,,81 e 98,,None 3 suítes,em Dezembro / 25,81 e 98m²  2 e 3 suítes mais lavabo 2 vagas determinadasEntrega em Dezembro / 25,,,
Em construção,,,,,,Patriani,Santos - Gonzaga,,126 e 127,3 dorms,3 dorms None,em Março / 26,126 e 127m²3 dorms e 2 suítes1 ou 2 vagasEntrega em Março / 26,,,
Em construção,,,,,,Patriani,Sorocaba - Campolim,,91,,None 2 suítes,em Janeiro / 24,91m²2 suítes e lavabo2 vagas determinadasEntrega em Janeiro / 24,,,
Em construção,,,,,,Patriani,São Paulo - Ipiranga,,63 e 81,,None 2 suítes,em Julho / 24,63 e 81m²2 suítes ou 2 dorms com 1 suíte1 ou 2 vagas determinadasEntrega em Julho / 24,,,
Pronto para morar,,,,,,Patriani,Campinas - Guanabara,,"41,7",,None None,em Outubro / 23,"41,7m²Apartamento tipo studio1 vaga determinadaEntrega em Outubro / 23",,,
Breve Lançamento,,,,,,Patriani,São Bernardo do Campo - Nova Petrópolis,,85 e 116,,None 3 suítes,,85 e 116m²2 e 3 suítes2 vagas determinadasLançamento em Março / 24,,,
Em construção,,,,,,Patriani,Campinas - Jardim Proença,,"86,5",,None 2 suítes,em Junho / 25,"84 e 86,5m²2 suítes e lavabo2 vagas determinadasEntrega em Junho / 25",,,
Pronto para morar,,,,,,Patriani,Santo André - Campestre,,78,,None 2 suítes,em Março / 22,78m²2 suítes e lavabo2 vagas determinadasEntregue em Março / 22,,,
Em construção,,,,,,Patriani,São Caetano - Fundação,,85 e 89,,None 2 suítes,em Março / 24,85 e 89m²2 suítes e lavabo2 vagas determinadasEntrega em Março / 24,,,
Lançamento,,,,,,Patriani,São Caetano - Santa Paula,,111,,None 3 suítes,em Dezembro / 26,86 a 111m²2 e 3 suítes2 vagas determinadasEntrega em Dezembro / 26,,,
Pronto,,,,,,Patriani,Santo André - Bairro Jardim,,116,,None None,em Junho / 21,"116m², 129m² e 245m²Salas comerciais3 vagas por salaEntregue em Junho / 21",,,
Em construção,,,,,,Patriani,Santo André - Jardim,,96,,None 2 suítes,em Janeiro / 24,80 a 96m²2 suítes e 3 dorms (com 2 suítes)2 vagas determinadasEntrega em Janeiro / 24,,,
